"file"	"channel"	"row"	"col"	"time"	"well"	"plate"	"magnification"	"instrument"	"cell.Type.1"	"cell.Count.1"	"cell.Condition.1"	"cell.Type.2"	"cell.Count.2"
"210721 - TFlib reseed movie_C4_1_01d20h36m.tif"	"red"	"C"	4	"01d20h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h36m.tif"	"phase"	"C"	4	"01d20h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h40m.tif"	"red"	"C"	4	"01d20h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h40m.tif"	"phase"	"C"	4	"01d20h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h44m.tif"	"phase"	"C"	4	"01d20h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h44m.tif"	"red"	"C"	4	"01d20h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h48m.tif"	"phase"	"C"	4	"01d20h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h48m.tif"	"red"	"C"	4	"01d20h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h52m.tif"	"phase"	"C"	4	"01d20h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h52m.tif"	"red"	"C"	4	"01d20h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h56m.tif"	"red"	"C"	4	"01d20h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d20h56m.tif"	"phase"	"C"	4	"01d20h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h00m.tif"	"red"	"C"	4	"01d21h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h00m.tif"	"phase"	"C"	4	"01d21h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h04m.tif"	"phase"	"C"	4	"01d21h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h04m.tif"	"red"	"C"	4	"01d21h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h08m.tif"	"red"	"C"	4	"01d21h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h08m.tif"	"phase"	"C"	4	"01d21h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h12m.tif"	"phase"	"C"	4	"01d21h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h12m.tif"	"red"	"C"	4	"01d21h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h16m.tif"	"red"	"C"	4	"01d21h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h16m.tif"	"phase"	"C"	4	"01d21h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h20m.tif"	"red"	"C"	4	"01d21h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h20m.tif"	"phase"	"C"	4	"01d21h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h24m.tif"	"red"	"C"	4	"01d21h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h24m.tif"	"phase"	"C"	4	"01d21h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h28m.tif"	"phase"	"C"	4	"01d21h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h28m.tif"	"red"	"C"	4	"01d21h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h32m.tif"	"phase"	"C"	4	"01d21h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h32m.tif"	"red"	"C"	4	"01d21h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h36m.tif"	"red"	"C"	4	"01d21h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h36m.tif"	"phase"	"C"	4	"01d21h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h40m.tif"	"phase"	"C"	4	"01d21h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h40m.tif"	"red"	"C"	4	"01d21h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h44m.tif"	"phase"	"C"	4	"01d21h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h44m.tif"	"red"	"C"	4	"01d21h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h48m.tif"	"phase"	"C"	4	"01d21h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h48m.tif"	"red"	"C"	4	"01d21h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h52m.tif"	"red"	"C"	4	"01d21h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h52m.tif"	"phase"	"C"	4	"01d21h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h56m.tif"	"red"	"C"	4	"01d21h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d21h56m.tif"	"phase"	"C"	4	"01d21h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h00m.tif"	"phase"	"C"	4	"01d22h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h00m.tif"	"red"	"C"	4	"01d22h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h04m.tif"	"red"	"C"	4	"01d22h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h04m.tif"	"phase"	"C"	4	"01d22h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h08m.tif"	"red"	"C"	4	"01d22h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h08m.tif"	"phase"	"C"	4	"01d22h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h12m.tif"	"phase"	"C"	4	"01d22h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h12m.tif"	"red"	"C"	4	"01d22h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h16m.tif"	"red"	"C"	4	"01d22h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h16m.tif"	"phase"	"C"	4	"01d22h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h20m.tif"	"red"	"C"	4	"01d22h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h20m.tif"	"phase"	"C"	4	"01d22h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h24m.tif"	"phase"	"C"	4	"01d22h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h24m.tif"	"red"	"C"	4	"01d22h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h28m.tif"	"phase"	"C"	4	"01d22h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h28m.tif"	"red"	"C"	4	"01d22h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h32m.tif"	"red"	"C"	4	"01d22h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h32m.tif"	"phase"	"C"	4	"01d22h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h36m.tif"	"phase"	"C"	4	"01d22h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h36m.tif"	"red"	"C"	4	"01d22h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h40m.tif"	"phase"	"C"	4	"01d22h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h40m.tif"	"red"	"C"	4	"01d22h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h44m.tif"	"phase"	"C"	4	"01d22h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h44m.tif"	"red"	"C"	4	"01d22h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h48m.tif"	"phase"	"C"	4	"01d22h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h48m.tif"	"red"	"C"	4	"01d22h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h52m.tif"	"red"	"C"	4	"01d22h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h52m.tif"	"phase"	"C"	4	"01d22h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h56m.tif"	"red"	"C"	4	"01d22h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d22h56m.tif"	"phase"	"C"	4	"01d22h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h00m.tif"	"phase"	"C"	4	"01d23h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h00m.tif"	"red"	"C"	4	"01d23h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h04m.tif"	"phase"	"C"	4	"01d23h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h04m.tif"	"red"	"C"	4	"01d23h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h08m.tif"	"red"	"C"	4	"01d23h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h08m.tif"	"phase"	"C"	4	"01d23h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h12m.tif"	"red"	"C"	4	"01d23h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h12m.tif"	"phase"	"C"	4	"01d23h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h16m.tif"	"red"	"C"	4	"01d23h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h16m.tif"	"phase"	"C"	4	"01d23h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h20m.tif"	"phase"	"C"	4	"01d23h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h20m.tif"	"red"	"C"	4	"01d23h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h24m.tif"	"red"	"C"	4	"01d23h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h24m.tif"	"phase"	"C"	4	"01d23h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h28m.tif"	"phase"	"C"	4	"01d23h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h28m.tif"	"red"	"C"	4	"01d23h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h32m.tif"	"phase"	"C"	4	"01d23h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h32m.tif"	"red"	"C"	4	"01d23h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h36m.tif"	"red"	"C"	4	"01d23h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h36m.tif"	"phase"	"C"	4	"01d23h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h40m.tif"	"red"	"C"	4	"01d23h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h40m.tif"	"phase"	"C"	4	"01d23h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h44m.tif"	"phase"	"C"	4	"01d23h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h44m.tif"	"red"	"C"	4	"01d23h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h48m.tif"	"phase"	"C"	4	"01d23h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h48m.tif"	"red"	"C"	4	"01d23h48m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h52m.tif"	"phase"	"C"	4	"01d23h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h52m.tif"	"red"	"C"	4	"01d23h52m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h56m.tif"	"red"	"C"	4	"01d23h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d23h56m.tif"	"phase"	"C"	4	"01d23h56m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h00m.tif"	"phase"	"C"	4	"02d00h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h00m.tif"	"red"	"C"	4	"02d00h00m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h04m.tif"	"phase"	"C"	4	"02d00h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h04m.tif"	"red"	"C"	4	"02d00h04m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h08m.tif"	"red"	"C"	4	"02d00h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h08m.tif"	"phase"	"C"	4	"02d00h08m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h12m.tif"	"red"	"C"	4	"02d00h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h12m.tif"	"phase"	"C"	4	"02d00h12m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h16m.tif"	"red"	"C"	4	"02d00h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h16m.tif"	"phase"	"C"	4	"02d00h16m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h20m.tif"	"phase"	"C"	4	"02d00h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h20m.tif"	"red"	"C"	4	"02d00h20m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h24m.tif"	"red"	"C"	4	"02d00h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h24m.tif"	"phase"	"C"	4	"02d00h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h28m.tif"	"phase"	"C"	4	"02d00h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h28m.tif"	"red"	"C"	4	"02d00h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_02d00h32m.tif"	"red"	"C"	4	"02d00h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
